2020-02-17 13:11:56,172 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=3e5129ec-0116-4cdd-b10e-33d320c08f1c
2020-02-17 13:12:01,986 [1] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=Game; AppPath=C:\Users\94910\Desktop\Car\Server\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\LoadBalancing\GameServer, Type=Photon.LoadBalancing.GameServer.GameApplication 
2020-02-17 13:12:02,001 [1] INFO  Photon.SocketServer.Diagnostics.CounterPublisher - CounterPublisher started publishing ExitGames.Diagnostics.Monitoring.CounterSamplePublisher to ExitGames.Diagnostics.Monitoring.CounterSampleSender
2020-02-17 13:12:05,376 [11] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection established: address:127.0.0.1
2020-02-17 13:12:05,385 [11] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2020-02-17 13:12:05,397 [11] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Registering game server with address 127.0.0.1, TCP 4531, UDP 5056, WebSocket 9091, Secure WebSocket 19091, HTTP 80, ServerID 3e5129ec-0116-4cdd-b10e-33d320c08f1c, Hostname localhost, IPv6Address 
2020-02-17 13:12:05,511 [12] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Successfully registered at master server: serverId=3e5129ec-0116-4cdd-b10e-33d320c08f1c
2020-02-17 13:26:03,322 [4] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Lowest to Low with input 35
2020-02-17 13:26:03,335 [4] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Lowest, new=Low
2020-02-17 13:49:52,528 [23] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Low to Lowest with input 20
2020-02-17 13:49:52,555 [23] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Low, new=Lowest
2020-02-17 14:00:46,785 [19] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Lowest to Low with input 35
2020-02-17 14:00:46,794 [19] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Lowest, new=Low
2020-02-17 14:19:32,556 [8] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Low to Lowest with input 20
2020-02-17 14:19:32,567 [8] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Low, new=Lowest
2020-02-17 14:37:30,714 [4] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Lowest to Low with input 35
2020-02-17 14:37:30,725 [4] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Lowest, new=Low
2020-02-17 15:26:36,229 [10] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Low to Lowest with input 20
2020-02-17 15:26:36,239 [10] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Low, new=Lowest
2020-02-17 18:23:04,781 [12] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Lowest to Low with input 35
2020-02-17 18:23:04,791 [12] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Lowest, new=Low
2020-02-17 18:27:27,915 [12] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Low to Lowest with input 20
2020-02-17 18:27:27,925 [12] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Low, new=Lowest
2020-02-17 18:56:36,132 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - OnStopRequested: serverid=3e5129ec-0116-4cdd-b10e-33d320c08f1c
2020-02-17 18:56:36,148 [1] INFO  Photon.SocketServer.ApplicationBase - Application is stopping: AppId=Game
2020-02-17 18:56:36,153 [13] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - connection to master closed (id=2, reason=ManagedDisconnect, detail=), serverId=3e5129ec-0116-4cdd-b10e-33d320c08f1c
2020-02-17 18:56:36,197 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - TearDown: serverId=3e5129ec-0116-4cdd-b10e-33d320c08f1c
2020-02-17 18:56:36,209 [1] INFO  Photon.SocketServer.ApplicationBase - Application stop: AppId=Game
2020-02-17 19:24:15,983 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=68d1a753-a299-4b15-a173-37d4d97ab58f
2020-02-17 19:24:16,679 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - HTTP Queue performance counters successfully initialized
2020-02-17 19:24:16,692 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - Internal HTTP Queue performance counters successfully created
2020-02-17 19:24:16,711 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - TokenCreator intialized with an expiration of 02:46:40
2020-02-17 19:24:18,658 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Business Logic Queue
2020-02-17 19:24:18,670 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Queue
2020-02-17 19:24:18,680 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes in/sec
2020-02-17 19:24:18,693 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes out/sec
2020-02-17 19:24:18,702 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Processing
2020-02-17 19:24:18,714 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Active
2020-02-17 19:24:18,723 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: In (ms)
2020-02-17 19:24:18,734 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: Out (ms)
2020-02-17 19:24:18,743 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers +/sec
2020-02-17 19:24:18,753 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers (C) +/sec
2020-02-17 19:24:18,762 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Peers
2020-02-17 19:24:18,772 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers +/sec
2020-02-17 19:24:18,780 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers (C) +/sec
2020-02-17 19:24:18,790 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Peers
2020-02-17 19:24:18,809 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.FeedbackControlSystem - Could not initialize Feedback Control System from configuration: Invalid configuration file C:\Users\94910\Desktop\Car\Server\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\Workload.config. Using default settings... (未能找到文件“C:\Users\94910\Desktop\Car\Server\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\Workload.config”。)
2020-02-17 19:24:18,835 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Watching for application state file in C:\Users\94910\Desktop\Car\Server\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\ServerState.txt
2020-02-17 19:24:18,849 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2020-02-17 19:24:18,860 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Initializing master server connection ...
2020-02-17 19:24:18,976 [1] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=68d1a753-a299-4b15-a173-37d4d97ab58f
2020-02-17 19:24:19,025 [1] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=Game; AppPath=C:\Users\94910\Desktop\Car\Server\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\LoadBalancing\GameServer, Type=Photon.LoadBalancing.GameServer.GameApplication 
2020-02-17 19:24:19,040 [1] INFO  Photon.SocketServer.Diagnostics.CounterPublisher - CounterPublisher started publishing ExitGames.Diagnostics.Monitoring.CounterSamplePublisher to ExitGames.Diagnostics.Monitoring.CounterSampleSender
2020-02-17 19:24:20,792 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - OnStopRequested: serverid=68d1a753-a299-4b15-a173-37d4d97ab58f
2020-02-17 19:24:20,804 [1] INFO  Photon.SocketServer.ApplicationBase - Application is stopping: AppId=Game
2020-02-17 19:24:20,812 [14] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - connection to master closed (id=2, reason=ManagedDisconnect, detail=), serverId=68d1a753-a299-4b15-a173-37d4d97ab58f
2020-02-17 19:24:20,868 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - TearDown: serverId=68d1a753-a299-4b15-a173-37d4d97ab58f
2020-02-17 19:24:20,883 [1] INFO  Photon.SocketServer.ApplicationBase - Application stop: AppId=Game
